technical_match_ratio,technical_partial_ratio,technical_missing_ratio,mandatory_requirement_compliance,document_completeness,required_documents_present,required_documents_missing,evidence_coverage,specification_match_score,specification_conflict_count,experience_years,relevant_experience_score,delivery_days,delivery_compliance,quoted_price,price_score,standards_coverage,high_risk_requirement_count,missing_evidence_count,conflict_count,compliance_class
0.68,0.0,0.32,1,0.543,2,3,0.451,68.0,4,2,33,30,1,26272.21,47.5,0.497,1,5,6,1
0.8,0.15,0.05,1,0.847,4,1,0.781,80.0,0,14,100,55,1,33367.11,33.3,0.72,0,2,0,3
0.482,0.182,0.336,0,0.488,2,3,0.448,48.2,5,4,48,13,1,14263.1,71.5,0.302,2,5,7,0
0.962,0.023,0.015,1,0.801,4,1,0.75,96.2,0,14,100,50,1,32331.19,35.3,0.772,0,2,2,3
0.565,0.241,0.194,1,0.584,2,3,0.489,56.5,2,1,25,50,0,33487.47,33.0,0.633,2,5,4,1
0.818,0.173,0.01,1,0.636,3,2,0.55,81.8,0,4,44,59,1,35536.29,28.9,0.907,0,4,0,2
0.419,0.432,0.15,0,0.388,1,4,0.341,41.9,2,2,28,87,0,27783.55,44.4,0.456,2,6,4,0
0.93,0.024,0.046,1,1.0,5,0,0.89,93.0,0,9,100,68,1,26381.42,47.2,0.949,0,1,0,3
0.894,0.1,0.006,1,0.98,4,1,0.933,89.4,0,9,93,33,1,33295.65,33.4,0.823,0,0,1,2
0.658,0.099,0.243,1,0.737,3,2,0.61,65.8,3,4,44,49,0,15076.53,69.8,0.741,1,3,5,2
0.864,0.042,0.094,1,0.706,3,2,0.63,86.4,1,13,100,68,1,12751.3,74.5,0.733,0,3,2,3
0.972,0.028,0.0,1,0.976,4,1,0.863,97.2,0,3,38,50,1,23544.39,52.9,0.823,0,1,0,3
0.721,0.269,0.01,1,0.62,3,2,0.582,72.1,0,3,24,62,1,10922.17,78.2,0.704,1,4,2,2
0.111,0.134,0.754,0,0.0,0,5,0.0,11.1,11,3,42,81,0,10544.82,78.9,0.0,4,10,12,0
0.895,0.045,0.06,1,1.0,5,0,0.83,89.5,0,8,85,9,1,24772.32,50.5,0.898,0,1,2,2
0.87,0.125,0.005,1,1.0,5,0,0.88,87.0,0,4,37,7,1,38649.15,22.7,0.89,0,1,2,3
0.809,0.157,0.034,1,1.0,5,0,0.903,80.9,0,4,30,54,1,34135.48,31.7,0.776,0,0,0,3
0.412,0.278,0.31,1,0.554,2,3,0.488,41.2,4,3,30,78,0,29633.52,40.7,0.412,2,5,4,1
0.676,0.0,0.392,0,0.598,2,3,0.537,67.6,5,4,38,39,0,10451.88,79.1,0.624,1,4,7,0
0.598,0.086,0.316,0,0.615,3,2,0.554,59.8,4,4,48,60,0,32652.47,34.7,0.528,2,4,5,0
0.801,0.07,0.13,1,0.8,4,1,0.732,80.1,1,3,31,36,1,33848.21,32.3,0.875,0,2,1,3
0.371,0.115,0.514,1,0.557,2,3,0.54,37.1,7,4,50,38,0,17767.05,64.5,0.266,3,4,9,1
0.881,0.015,0.104,1,0.72,3,2,0.664,88.1,1,9,81,33,1,17382.26,65.2,0.778,0,3,2,3
0.284,0.14,0.576,0,0.251,1,4,0.214,28.4,8,3,45,13,1,12522.74,75.0,0.323,3,7,8,0
0.839,0.028,0.134,1,0.789,3,2,0.646,83.9,2,8,88,31,1,13876.04,72.2,0.933,0,3,4,2
0.85,0.148,0.002,1,0.771,3,2,0.7,85.0,0,3,27,59,1,24504.0,51.0,0.94,0,3,0,3
0.839,0.141,0.021,1,0.919,4,1,0.76,83.9,0,4,57,36,1,16437.36,67.1,0.759,0,2,0,3
0.675,0.297,0.028,1,0.647,3,2,0.606,67.5,0,12,100,7,1,21058.81,57.9,0.547,1,3,0,3
0.674,0.035,0.291,1,0.737,3,2,0.654,67.4,4,2,21,32,0,18899.32,62.2,0.701,1,3,4,3
0.038,0.507,0.456,1,0.0,0,5,0.0,3.8,6,4,36,39,0,11970.11,76.1,0.033,4,10,7,1
0.614,0.33,0.056,1,0.615,3,2,0.597,61.4,0,6,65,30,1,33597.29,32.8,0.697,1,4,0,2
0.84,0.058,0.102,1,0.692,3,2,0.666,84.0,1,7,71,73,1,30510.67,39.0,0.836,0,3,3,2
0.386,0.401,0.213,0,0.433,2,3,0.376,38.6,3,4,55,80,0,10581.8,78.8,0.43,3,6,4,0
0.279,0.107,0.614,0,0.373,1,4,0.358,27.9,9,3,29,79,0,13527.8,72.9,0.251,3,6,9,0
0.1,0.31,0.59,0,0.125,0,5,0.106,10.0,8,4,52,36,0,18538.29,62.9,0.052,4,8,10,0
0.658,0.125,0.217,0,0.82,4,1,0.671,65.8,3,3,33,58,0,24335.95,51.3,0.648,1,3,5,0
0.431,0.267,0.302,1,0.548,2,3,0.525,43.1,4,4,39,64,0,11438.97,77.1,0.396,2,4,4,1
0.87,0.124,0.006,1,0.727,3,2,0.693,87.0,0,8,76,52,1,39533.92,20.9,0.692,0,3,0,3
0.624,0.363,0.013,1,0.574,2,3,0.502,62.4,0,9,100,51,1,28834.45,42.3,0.537,1,4,0,2
0.912,0.067,0.021,1,1.0,5,0,0.822,91.2,0,4,57,64,1,40934.09,18.1,0.942,0,1,2,3
0.804,0.16,0.036,1,0.795,3,2,0.65,80.4,0,8,90,12,1,30052.73,39.9,0.898,0,3,0,3
0.317,0.305,0.377,1,0.219,1,4,0.205,31.7,5,1,14,55,0,27393.72,45.2,0.254,3,7,5,0
